,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
2209,hsa-mir-106a,PPARA,2209,1.0,2.6480161648134866,-0.4380225435650884,7.353971095960248e-13,-2.791068246460417,2.2462100127737954,1.0,0.1428571428571428,7,1
3838,hsa-mir-106a,NF1,3838,1.0,4.703060659175608,-0.4932720386272298,2.289269022477365e-16,-3.1386241628899536,2.719277077976766,1.0,0.6666666666666666,6,4
3657,hsa-mir-106a,STAT5B,3657,1.0,1.870180402053513,-0.429761801502629,2.1804332848339308e-12,-3.313304241801012,2.9733731571454296,1.0,0.4,5,2
4173,hsa-mir-106a,SOX1,4173,1.0,1.544593330958388,-0.4239591307962889,4.597612446589782e-12,-2.913876146146613,2.408027926587097,1.0,0.2727272727272727,11,3
4171,hsa-mir-106a,SOX1,4171,1.0,1.544593330958388,-0.381403496235897,7.201009390639267e-10,-3.203211546484311,2.8119191907198933,1.0,0.2727272727272727,11,3
3287,hsa-mir-106a,BPTF,3287,1.0,2.523737310046633,-0.6467698433350267,2.6543921850678064e-30,-3.082763137143375,2.6404265042422805,0.75,0.3529411764705882,17,8
1803,hsa-mir-106a,ZFX,1803,1.0,4.183710583872832,-0.4872631748509969,5.921630043286766e-16,-2.7408786493593107,2.181472200020288,1.0,0.6111111111111112,18,11
3314,hsa-mir-106a,ZEB1,3314,1.0,4.454816856703681,-0.3780817730856762,1.0373140931522402e-09,-2.790249494102614,2.245139717301444,0.9090909090909092,0.7142857142857143,14,11
817,hsa-mir-106a,ELF2,817,1.0,2.408589643788767,-0.4712745085891064,6.793324707134629e-15,-2.518554128705588,1.9055157002332896,1.0,0.4210526315789473,19,8
823,hsa-mir-106a,ELF2,823,1.0,2.408589643788767,-0.4579904092784654,4.6926577554084944e-14,-2.6694612861282243,2.0908820812437825,1.0,0.4210526315789473,19,8
4279,hsa-mir-106a,NKX2-2,4279,1.0,4.874994359689376,-0.3800772338238712,8.334858621038667e-10,-2.34487601013605,1.7021664307295643,1.0,0.2857142857142857,14,4
3234,hsa-mir-106a,SATB1,3234,1.0,2.5436957595763623,-0.3488602241139321,2.1651961694848673e-08,-2.5295105118289363,1.9186525158308383,0.875,0.4117647058823529,17,8
3232,hsa-mir-106a,SATB1,3232,1.0,2.5436957595763623,-0.3546766126001098,1.2115198288857452e-08,-2.083130520280056,1.4165997532072985,0.875,0.4117647058823529,17,8
1437,hsa-mir-106a,TRAF4,1437,1.0,1.5835357813980662,-0.4096650682130775,2.7206926663693688e-11,-2.7429567729412456,2.183871373273331,0.6,0.2142857142857142,14,5
1442,hsa-mir-106b,HOXC10,1442,-1.0,1.3249521565549884,-0.359168214695075,7.675136761060936e-09,4.441226691587905,4.865349140298886,1.0,1.0,4,4
