,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.7619047619047619,0.8928571428571429,1.0,0.7916666666666666,0.5238095238095238,0.21428571428571427,0.6666666666666666,-0.9761904761904762,-0.6842105263157895,0.8,0.07692307692307693,0.25,-0.8888888888888888,0.5,-0.04,-0.5,-0.2727272727272727,-0.30434782608695654,-0.7,-0.9310344827586207,-0.8947368421052632,-0.75,-0.8679245283018868
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-0.9605263157894737,0.7,0.9230769230769231,1.0,-0.7777777777777778,0.8333333333333334,1.0,0.5,-1.0,-0.9130434782608695,-1.0,-1.0,-0.9473684210526315,0.0,-0.9811320754716981
2,1.0,1.0,0.4666666666666667,0.9583333333333334,0.09523809523809523,1.0,0.6666666666666666,-0.9761904761904762,-0.9078947368421053,-0.5,-0.23076923076923078,-0.6666666666666666,0.1111111111111111,0.16666666666666666,1.0,0.0,-0.9090909090909091,-1.0,-1.0,-1.0,-1.0,-0.8125,-0.9245283018867925
3,0.5714285714285714,0.8928571428571429,1.0,0.875,1.0,0.07142857142857142,0.6666666666666666,-0.9761904761904762,-0.25,1.0,0.038461538461538464,0.5,-0.6666666666666666,0.5,-0.12,-0.3333333333333333,-0.6363636363636364,-0.30434782608695654,-0.8,-1.0,-1.0,-0.5,-0.9056603773584906
4,0.7857142857142857,0.8214285714285714,0.5666666666666667,0.8333333333333334,0.2857142857142857,0.42857142857142855,0.5555555555555556,-0.9285714285714286,-0.4342105263157895,0.2,-0.07692307692307693,-0.08333333333333333,-0.3333333333333333,0.0,0.48,-0.08333333333333333,-1.0,-0.391304347826087,-0.8,-0.6896551724137931,-0.8947368421052632,-0.5,-0.6415094339622641
5,0.7619047619047619,0.5714285714285714,0.8,0.6666666666666666,0.7619047619047619,0.8571428571428571,0.7777777777777778,-0.7619047619047619,-0.5131578947368421,0.4,0.23076923076923078,0.5,0.3333333333333333,-1.0,0.2,0.16666666666666666,-1.0,-0.43478260869565216,-0.5,-0.06896551724137931,-0.21052631578947367,0.75,-0.2641509433962264
6,0.9047619047619048,0.6785714285714286,0.7666666666666667,0.6666666666666666,0.42857142857142855,1.0,0.6666666666666666,-1.0,-0.9868421052631579,-0.3,0.4230769230769231,0.6666666666666666,-0.5555555555555556,-0.6666666666666666,0.56,0.3333333333333333,-0.8181818181818182,-0.782608695652174,-0.9,-0.9655172413793104,-0.8421052631578947,-0.125,-0.9433962264150944
7,-0.047619047619047616,0.10714285714285714,0.23333333333333334,0.08333333333333333,0.2857142857142857,-0.14285714285714285,0.0,-0.38095238095238093,0.4473684210526316,0.8,-0.15384615384615385,0.08333333333333333,-0.1111111111111111,-0.16666666666666666,-0.16,-0.08333333333333333,0.18181818181818182,-0.043478260869565216,0.0,-0.2413793103448276,-0.3157894736842105,0.0,-0.03773584905660377
8,0.30952380952380953,0.6071428571428571,0.5,0.5,0.6190476190476191,-0.14285714285714285,0.3333333333333333,-0.5714285714285714,0.11842105263157894,0.2,-0.3076923076923077,-0.25,-0.1111111111111111,-0.5,-0.08,-0.08333333333333333,-0.5454545454545454,-0.17391304347826086,-0.4,-0.2413793103448276,-0.7368421052631579,0.125,0.1320754716981132
9,0.6666666666666666,0.8214285714285714,0.8666666666666667,0.16666666666666666,0.38095238095238093,0.21428571428571427,0.8888888888888888,-0.40476190476190477,0.18421052631578946,0.4,-0.038461538461538464,-0.08333333333333333,0.1111111111111111,1.0,-0.08,-0.9166666666666666,-0.09090909090909091,-0.8260869565217391,-0.5,-0.27586206896551724,-0.9473684210526315,-0.6875,-0.33962264150943394
10,0.8809523809523809,0.8571428571428571,0.9,0.2916666666666667,0.09523809523809523,0.35714285714285715,0.8888888888888888,-0.9047619047619048,-0.5657894736842105,0.4,0.2692307692307692,0.5,-0.3333333333333333,0.5,0.08,-0.4166666666666667,-0.2727272727272727,-0.391304347826087,-0.8,-0.7586206896551724,-0.9473684210526315,-0.75,-0.6792452830188679
11,0.6428571428571429,0.5357142857142857,0.5666666666666667,0.2916666666666667,0.23809523809523808,-0.42857142857142855,0.6666666666666666,-0.4523809523809524,0.039473684210526314,0.5,-0.5384615384615384,-0.25,-0.1111111111111111,0.0,-0.08,-0.16666666666666666,-0.09090909090909091,-0.2608695652173913,-0.6,-0.6206896551724138,-0.7894736842105263,0.0625,-0.1509433962264151
12,0.5476190476190477,0.9285714285714286,0.6,0.75,0.7142857142857143,0.0,0.2222222222222222,-0.9047619047619048,-0.05263157894736842,0.7,-0.2692307692307692,0.0,-0.3333333333333333,0.3333333333333333,0.12,0.08333333333333333,-0.9090909090909091,-0.21739130434782608,-0.5,-0.9310344827586207,-0.9473684210526315,-0.625,-0.7547169811320755
13,0.9047619047619048,0.7857142857142857,0.4666666666666667,0.7916666666666666,0.5714285714285714,0.5,0.8888888888888888,-0.8571428571428571,-0.47368421052631576,-0.1,-0.11538461538461539,-0.16666666666666666,0.0,-0.5,0.4,-0.16666666666666666,-1.0,-0.43478260869565216,-0.7,-0.3103448275862069,-0.9473684210526315,0.0,-0.2830188679245283
14,0.2857142857142857,0.8571428571428571,0.6,0.8333333333333334,0.7142857142857143,-0.07142857142857142,0.1111111111111111,-0.9047619047619048,0.13157894736842105,1.0,-0.34615384615384615,0.25,-0.4444444444444444,-0.3333333333333333,-0.04,-0.16666666666666666,-0.36363636363636365,0.0,-0.3,-0.6896551724137931,-0.8947368421052632,-0.25,-0.4339622641509434
15,0.23809523809523808,1.0,0.7,0.9166666666666666,0.8095238095238095,-0.07142857142857142,0.0,-1.0,-0.25,1.0,-0.4230769230769231,0.08333333333333333,-0.8888888888888888,0.16666666666666666,0.12,0.16666666666666666,-0.6363636363636364,-0.17391304347826086,-0.6,-1.0,-1.0,-0.5625,-0.9811320754716981
