,HR,p_value
0,1.1815962160721178,0.02973874257820736
1,1.045392174437169,0.5383023394086858
2,1.123375285726583,0.194058369180792
3,1.2375737912506581,0.005385555865887822
4,0.9931440122347237,0.9327332797881942
5,1.0972173721431169,0.3503766304683421
6,1.0427646711500007,0.6076447018771844
7,1.2093135241158994,0.012770189967989839
8,1.3436384656071685,0.00020133909002400627
9,1.1018720329784577,0.25896894184371766
10,1.148049839949653,0.10628675597489043
11,1.234655236632676,0.006788762995039414
12,1.3178521146345608,0.0006946754895588072
13,1.3006975224095523,0.0007122172992975801
14,1.2443017352414063,0.008755283948672506
15,1.232494973265176,0.012571546654697454
16,1.1628627702524188,0.07935859561368144
17,1.1755065478319344,0.08820786369309987
18,1.0667764847263863,0.5010412572695709
19,1.0881019797024478,0.2291569120906073
20,1.2311270438105806,0.021124175159844997
21,1.042841083733708,0.6513840644562172
22,1.2034248805451044,0.02625877099142468
23,1.1544264678344764,0.11278242563808373
24,1.257442717587561,0.0179252319120062
25,1.3065367435648163,0.0017322165496786958
26,1.1996443411365005,0.04254727564069036
27,1.2572707444451015,0.013961929946541114
28,1.188469519632826,0.02893371727742007
29,1.1554927609355643,0.12297325215027105
30,1.2683576329176793,0.002483231489607654
31,1.3115301052357893,0.0013940325298761596
32,0.8386313685303246,0.0934885634996155
33,0.8629660834258897,0.09360900409773378
34,1.141988369709022,0.08551840777458213
35,1.180455948502383,0.046957344817972056
36,1.0750209596117366,0.36033416554751674
37,1.212740942072944,0.021317731181811943
38,1.308201669269689,0.0010506407402106415
39,1.1958138364109954,0.025409157240776845
40,1.1446282683091495,0.08862958577868062
41,0.9874379248244964,0.8883272675584
42,1.2181317143181722,0.016392067091559694
43,1.1006092692323939,0.2301658793724452
44,1.073069317310385,0.38118623820164044
45,1.124384839205146,0.20683799639626294
46,1.1266361199179054,0.17060707359930222
47,1.0261708523863629,0.7711447358986506
48,1.315622093882103,0.0017087518862343057
49,0.9876704676311926,0.8972177860042062
50,1.362278801355349,0.001479543535888603
51,1.1942733782129507,0.06312560065371803
52,1.1273247709315013,0.15653254990207938
53,1.1352333645776265,0.16497240964364157
54,0.8626177433572239,0.1040337923394644
55,0.9722510069163325,0.7077358981553381
56,1.001221635779244,0.9902819942647851
57,0.8437656405554739,0.0455046915050643
58,0.9133167976583966,0.3464279750672833
59,0.9595343459454715,0.6335400931166411
60,0.9685926324264,0.7216949012370697
61,0.8583489895960199,0.1174788294335848
62,0.9629146115075432,0.7258546420850431
63,1.1101586707194135,0.21006701492678156
64,0.9924654020236253,0.9444262039887075
65,1.1660362022155772,0.08471843948894049
66,0.9129870478486685,0.45467516366970084
67,1.1626968654117766,0.08144232563354688
68,0.9795443615472578,0.8320237448806117
69,1.14370621386248,0.18577507162562162
70,1.1521088881640411,0.08181709200194232
71,1.037837362565556,0.6462132383501469
72,1.0656398795566833,0.4652362029120988
73,1.0109332359573395,0.9157738693314198
74,1.0074760975770276,0.9359111361336105
75,1.072094629286201,0.3823069017428393
76,1.0941844976081203,0.2787703547046916
77,0.8947236001264657,0.1883482227271077
78,0.9725980490271409,0.7416392608614055
79,1.2211012636824967,0.010884172111109177
80,1.056694681830733,0.5564368688935606
81,0.9461009094007762,0.6217340438127765
82,1.0467894576627896,0.567293543140258
83,1.1509106893756056,0.06852901810028035
84,0.8738076701315592,0.1309392013929532
85,0.9875904976308739,0.8905123235691516
86,1.1523886055294443,0.10764377255092919
87,0.8540768510318402,0.052082276918715954
88,1.5517095555842708,2.5832095581544093e-06
89,1.2081298751254097,0.021171848809241788
90,0.9425575494738946,0.49638185121423084
91,1.2946048642586017,0.010765644443104355
92,1.1127089744183425,0.26965687369210956
93,1.1508763475872552,0.24000626705751027
94,1.0867094611158266,0.36089417344715813
95,1.438003661678352,0.0001870347074364428
96,1.1345401658896432,0.11621512429337005
97,1.1760511511460454,0.05945866920285175
98,1.251949399798579,0.013660641960620607
99,1.1114934108924757,0.20380244803425268
100,1.1480926852985105,0.14793351969767066
101,1.1030066549435875,0.27781671627574345
102,0.8554336973883685,0.2799468385477515
103,0.9547563502445142,0.623300629798353
104,0.9842564310521467,0.8698859525605963
105,1.2431636112402895,0.010066690673328545
106,0.8516547138365735,0.09632292204426293
107,0.9789111704034434,0.8031954587700162
108,0.9883038805523365,0.890737343907443
109,1.362784055186528,0.006404469363408933
110,1.26981583277732,0.002894114118205927
111,1.0840379961913087,0.42065697233407484
112,0.8890267067731582,0.14210998874528535
113,1.127840042588984,0.19558715001212088
114,0.9642294562508439,0.653488037302659
115,0.9664916022809128,0.6734025155628864
116,1.1128109885267696,0.21047776897434753
117,1.0785822037772692,0.4811058732897865
118,1.043962429472742,0.62670150384823
119,1.0814371046304792,0.542635277612254
120,0.892619335288048,0.20905874838401295
121,0.9827055704603674,0.8517024990406175
122,0.8719126561715578,0.09325803305903964
123,1.2478278349465266,0.007708733341313577
124,0.9794735848097093,0.84289414035129
125,0.9817397147000169,0.8534641881721942
126,1.0170092400444604,0.8548474402270445
